season,date,away.team,away.score,home.team,home.score,line,over_under
2023,2023-08-12,Trabzonspor,0,Galatasaray,2,-2.75,3.5
2023,2023-08-12,Basaksehir,1,Kasimpasa,2,-0.5,2.5
2023,2023-08-12,Kayserispor,0,Konyaspor,3,-2.25,3.0
2023,2023-08-12,Trabzonspor,2,Sivasspor,2,-0.25,2.0
2023,2023-08-12,Alanyaspor,0,Konyaspor,1,-2.75,2.5
2023,2023-08-12,Trabzonspor,0,GaziantepFK,4,-3.25,3.5
2023,2023-08-19,GaziantepFK,5,Basaksehir,1,1.75,2.5
2023,2023-08-19,Kasimpasa,2,Trabzonspor,1,0.25,2.5
2023,2023-08-19,Kayserispor,1,Besiktas,3,0.25,3.0
2023,2023-08-19,Antalyaspor,0,Kayserispor,3,-2.75,2.5
2023,2023-08-19,Kayserispor,3,Alanyaspor,1,-0.25,3.0
2023,2023-08-19,Basaksehir,1,Trabzonspor,2,0.25,2.5
2023,2023-08-26,Fenerbahce,1,Kasimpasa,2,0.75,2.5
2023,2023-08-26,Konyaspor,1,Besiktas,0,2.25,3.0
2023,2023-08-26,Basaksehir,0,GaziantepFK,0,-2.75,3.0
2023,2023-08-26,Fenerbahce,0,GaziantepFK,0,-1.25,3.0
2023,2023-08-26,Besiktas,0,Fenerbahce,4,-1.5,3.0
2023,2023-08-26,Fenerbahce,0,Kayserispor,2,-0.75,3.0
2023,2023-09-02,Kayserispor,2,GaziantepFK,0,-1.0,3.0
2023,2023-09-02,Galatasaray,2,Alanyaspor,0,-0.25,2.0
2023,2023-09-02,Fenerbahce,4,Alanyaspor,2,-0.25,2.5
2023,2023-09-02,Kayserispor,0,Sivasspor,1,2.25,3.0
2023,2023-09-02,Fenerbahce,3,Antalyaspor,0,1.25,2.5
2023,2023-09-02,Trabzonspor,0,Alanyaspor,1,-2.5,2.5
2023,2023-09-09,Trabzonspor,1,Kasimpasa,2,-1.25,2.5
2023,2023-09-09,Galatasaray,1,Kayserispor,1,-1.75,2.5
2023,2023-09-09,Fenerbahce,1,Basaksehir,0,1.0,2.5
2023,2023-09-09,Kasimpasa,1,Basaksehir,0,-0.75,2.5
2023,2023-09-09,Galatasaray,2,Kasimpasa,2,0.25,3.0
2023,2023-09-09,GaziantepFK,0,Alanyaspor,4,0.75,2.5
2023,2023-09-16,Besiktas,0,Kasimpasa,1,0.25,3.0
2023,2023-09-16,GaziantepFK,0,Fenerbahce,1,0.0,2.5
2023,2023-09-16,Besiktas,3,Sivasspor,4,1.25,2.5
2023,2023-09-16,Alanyaspor,2,Sivasspor,1,1.75,3.0
2023,2023-09-16,GaziantepFK,3,Sivasspor,0,2.25,2.5
2023,2023-09-16,Antalyaspor,0,Fenerbahce,1,-2.25,2.5
2023,2023-09-23,Basaksehir,3,Antalyaspor,0,-0.5,3.0
2023,2023-09-23,Kayserispor,2,Trabzonspor,0,1.75,2.5
2023,2023-09-23,Kayserispor,3,Kasimpasa,0,0.75,3.0
2023,2023-09-23,Basaksehir,1,Besiktas,1,-1.0,3.0
2023,2023-09-23,Antalyaspor,1,Trabzonspor,3,0.0,2.5
2023,2023-09-23,Kayserispor,0,Galatasaray,1,-0.25,2.5
2023,2023-09-30,Antalyaspor,0,Alanyaspor,1,-1.75,3.0
2023,2023-09-30,GaziantepFK,3,Kasimpasa,0,1.25,3.0
2023,2023-09-30,Besiktas,0,Galatasaray,2,-1.0,2.0
2023,2023-09-30,Konyaspor,2,GaziantepFK,0,1.25,2.0
2023,2023-09-30,Besiktas,2,Trabzonspor,1,0.5,2.5
2023,2023-09-30,Antalyaspor,0,Kasimpasa,7,-1.25,3.0
2023,2023-10-07,Kayserispor,2,Fenerbahce,1,-0.25,2.5
2023,2023-10-07,Alanyaspor,3,Fenerbahce,1,-0.75,2.5
2023,2023-10-07,Sivasspor,2,Trabzonspor,4,-1.0,3.0
2023,2023-10-07,Fenerbahce,1,Besiktas,2,0.75,3.0
2023,2023-10-07,Konyaspor,4,Sivasspor,0,3.25,3.5
2023,2023-10-07,Antalyaspor,0,GaziantepFK,1,-2.5,3.0
2023,2023-10-14,Basaksehir,1,Alanyaspor,1,-1.75,2.5
2023,2023-10-14,Sivasspor,0,Galatasaray,2,-2.75,2.5
2023,2023-10-14,Alanyaspor,3,Basaksehir,2,0.25,2.5
2023,2023-10-14,Fenerbahce,3,Sivasspor,1,2.0,2.5
2023,2023-10-14,Kayserispor,4,Basaksehir,0,1.25,3.0
2023,2023-10-14,GaziantepFK,4,Antalyaspor,0,1.5,2.5
2023,2023-10-21,Galatasaray,1,Konyaspor,2,-3.25,2.5
2023,2023-10-21,Trabzonspor,0,Konyaspor,7,-3.5,4.0
2023,2023-10-21,Kasimpasa,1,Kayserispor,2,-2.25,3.0
2023,2023-10-21,Sivasspor,0,GaziantepFK,2,-2.75,3.0
2023,2023-10-21,Besiktas,2,Basaksehir,1,-0.25,2.5
2023,2023-10-21,Besiktas,1,Alanyaspor,2,-1.75,2.5
2023,2023-10-28,Galatasaray,2,Basaksehir,2,0.25,2.5
2023,2023-10-28,Basaksehir,0,Fenerbahce,3,-2.25,3.0
